comname,year,1,2,3,4,5,6,7,8,9,10,>10
atlantic mackerel,2003,0.07100000000000001,0.1646837606837607,0.23360869565217393,0.31115254237288137,0.4329,0.49250000000000005,0.5960000000000001,NA,NA,NA,NA
atlantic mackerel,2004,0.0774496644295302,0.1766987951807229,0.27875,0.32733333333333337,0.411875,0.438,NA,NA,NA,NA,NA
atlantic mackerel,2005,0.06728205128205128,0.15032978723404256,0.272575,0.3599090909090909,0.375,0.46790000000000004,0.5806666666666667,NA,NA,NA,NA
atlantic mackerel,2006,0.0591219512195122,0.14814285714285716,0.23739759036144578,0.33255555555555555,0.384,0.4165,0.436,NA,NA,NA,NA
atlantic mackerel,2007,0.08505747126436781,0.15730857142857144,0.26025000000000004,0.3297441860465116,0.441,NA,0.56,0.48833333333333334,NA,NA,NA
atlantic mackerel,2008,0.11260606060606061,0.18235555555555558,0.2596216216216216,0.341,0.35625,NA,NA,NA,0.532,NA,NA
atlantic mackerel,2009,0.09070305676855896,0.1963128491620112,0.2915757575757576,0.35291666666666666,0.525,0.43300000000000005,NA,NA,NA,NA,NA
atlantic mackerel,2010,0.09150625,0.17458649789029537,0.2619594594594595,0.36100000000000004,0.4085384615384616,NA,0.5433333333333333,NA,NA,NA,NA
atlantic mackerel,2011,0.08873786407766991,0.15951315789473686,0.2623763440860215,0.39165,0.33266666666666667,0.327,NA,NA,NA,NA,NA
atlantic mackerel,2012,0.08943636363636363,0.177875,0.27478947368421053,0.3631851851851852,0.35350000000000004,0.46,NA,NA,NA,NA,NA
atlantic mackerel,2013,0.09913513513513514,0.1552663043478261,0.24394444444444446,0.304,0.42037500000000005,0.49,NA,NA,NA,NA,NA
atlantic mackerel,2014,0.13257,0.22905633802816902,0.265013698630137,0.40021428571428574,NA,NA,NA,NA,NA,NA,NA
atlantic mackerel,2015,0.10695604395604397,0.21940865384615385,0.29230434782608694,0.34197222222222223,0.42025,NA,NA,NA,NA,NA,NA
atlantic mackerel,2016,0.1028563829787234,0.23875757575757578,0.34670769230769233,0.38,0.5466666666666666,0.645,NA,NA,NA,NA,NA
atlantic mackerel,2017,0.06003846153846154,0.12859817351598174,0.2640866141732284,0.33425,0.37333333333333335,0.39,NA,NA,NA,NA,NA
atlantic mackerel,2018,0.09454545454545454,0.21420000000000003,0.2227163120567376,0.33954545454545454,0.4723333333333334,NA,0.44,NA,NA,NA,NA
atlantic mackerel,2019,0.08767226890756304,0.16201376146788993,0.248,0.2573076923076923,0.3613,0.36760000000000004,NA,NA,NA,NA,NA
black sea bass,1992,0.07825,0.1429375,0.258,NA,NA,NA,NA,NA,NA,NA,NA
black sea bass,1993,0.07780000000000001,0.1191923076923077,0.19503125000000002,0.4106,NA,NA,NA,NA,NA,NA,NA
